	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
0811T	Rem mlt day uroflow setup	V	5012	NP24			
0812T	Rem mlt day uroflow dev sply	N	5721	NP24			
0813T	Egd vol adjmt bariatric balo	T	5301	NP24			
0814T	Prq njx biod osteo matrl fem	E1		NP24			
0815T	Us rems b1 dns hips plvs/spi	E1		NP24			
0816T	Opn insj/rplcmt ins ptn subq	J1	5464	NP24			
0817T	Opn insj/rplcmt ins ptn subf	J1	5464	NP24			
0818T	Revj/rmvl ins ptn subq	J1	5461	NP24			
0819T	Revj/rmvl ins ptn subf	J1	5461	NP24			
0820T	Mntr psychdlc med 1stphy/qhp	M		NP24			
0821T	Mntr psychdlc med 2ndphy/qhp	N		NP24			
0822T	Mntr psychdlc med cln staff	N		NP24			
0823T	Tcat ins 1chmbr ldls pm ra	J1	5224	NP24			
0824T	Tcat rmv 1chmbr ldls pm ra	J1	5183	NP24			
0825T	Tcat rmv&rpl1chmb ldls pm ra	J1	5224	NP24			
0826T	Prgrmg evl ldls pm 1chmbr ip	N	5741	NP24			
0827T	Dgtz gls mcrscp cytp smears	N		NP24			
0828T	Dgtz gls mcrscp cytp smpl fl	N		NP24			
0829T	Dgtz gls mcrscp cytp conctrj	N		NP24			
0830T	Dgtz gls mcrscp cytp slctv	N		NP24			
0831T	Dgtz gls mcrscp cytp c/v	N		NP24			
0832T	Dgtz gls mcrscp cytp oth scr	N		NP24			
0833T	Dgtz gls mcrscp cytp oth prp	N		NP24			
0834T	Dgtz gls mcrscp cytp oth xtn	N		NP24			
0835T	Dgtz gls mcrscp fna 1st ea	N		NP24			
0836T	Dgtz gls mcrscp fna ea addl	N		NP24			
0837T	Dgtz gls mcrscp fna i&r	N		NP24			
0838T	Dgtz gls mcrscp cslt sld els	N		NP24			
0839T	Dgtz gls mcrscp cslt mat prp	N		NP24			
0840T	Dgtz gls mcrscp cslt compre	N		NP24			
0841T	Dgtz gls mcrscp pth cslt 1st	N		NP24			
0842T	Dgtz gls mcrscp pth cslt ea	N		NP24			
0843T	Dgtz gls mcrscp cslt cyt 1st	N		NP24			
0844T	Dgtz gls mcrscp cslt cyt ea	N		NP24			
0845T	Dgtz gls mcrscp imfluor 1st	N		NP24			
0846T	Dgtz gls mcrscp imfluor ea	N		NP24			
0847T	Dgtz gls mcrscp xm arch tiss	N		NP24			
0848T	Dgtz gls mcrscp ish 1st	N		NP24			
0849T	Dgtz gls mcrscp ish ea adl 1	N		NP24			
0850T	Dgtz gls mcrscp ish ea mult	N		NP24			
0851T	Dgtz gls mcrscp mphmtrc 1st	N		NP24			
0852T	Dgtz gls mcrscp mphmtrc ea 1	N		NP24			
0853T	Dgtz gls mcrscp mphmtrc ea m	N		NP24			
0854T	Dgtz gls mcrscp bld smr prph	N		NP24			
0855T	Dgtz gls mcrscp b1 marow smr	N		NP24			
0856T	Dgtz gls mcrscp electron mic	N		NP24			
0857T	Opto-acoustic img breast uni	S	5522	NP24			
0858T	Ext trnscranl mag stimj meas	E1		NP24			
0859T	Ncntc ifr spctrsc o/t pad ea	N		NP24			
0860T	Ncntc ifr spctrsc scr pad	E1		NP24			
0861T	Rmvl pg wcs lv both compnt	N	5221	NP24			
0862T	Rlcj pg wcs lv battery only	T	5054	NP24			
0863T	Rlcj pg wcs lv trnsmtr only	T	5054	NP24			
0864T	Low ntsty eswt corpus cvrnsm	T	5371	NP24			
0865T	Quan mri alys brn w/o dx mri	S	5523	NP24			
0866T	Quan mri alys brn w/dx mri	S	5523	NP24			
0867T	Tpla b9 prst8 hyprplsa>=50ml	J1	5375	NJ24			
0868T	Hi-res gastric ep mapping	S	5723	NJ24			
0869T	Njx b1 sub mtrl hw fixj aug	J1	5113	NJ24			
0870T	Imp subq prtl ascts pmp sys	E2		NJ24			
0871T	Rplcmt subq prtl ascites pmp	E2		NJ24			
0872T	Rplcmt ndwllg bldr&prtl cath	E2		NJ24			
0873T	Revj subq prtl asct pmp sys	E2		NJ24			
0874T	Rmvl pertl ascites pmp sys	E2		NJ24			
0875T	Prgrm subq prtl asct pmp sys	E2		NJ24			
0876T	Duplex scan hemo fstl lmtd	E1		NJ24			
0877T	Augmnt alys ch ct ild w/o ct	S	1508	NJ24			
0878T	Augmnt alys ch ct ild w/ct	S	1508	NJ24			
0879T	Augmnt alys ch ct ild prep	N		NJ24			
0880T	Augmnt alys ch ct ild i&r	M		NJ24			
0881T	Cryotherapy oral cavity	N	5735	NJ24			
0882T	Intraop ther estim pn ue 1st	N		NJ24			
0883T	Intraop ther estim pn ue ea	N		NJ24			
0884T	Esphgsc flx 1st tndsc dilat	J1	5331	NJ24			
0885T	Colsc flx 1st tndsc dilat	J1	5331	NJ24			
0886T	Sgmdsc flx 1st tndsc dilat	J1	5331	NJ24			
0887T	End-tidal ctrl inhaled anes	N		NJ24			
0888T	Histotripsy mal renal tissue	S	1576	NJ24			
0889T	Prsnlz trgt dvl arhfcmrigtbs	S	1511	NJ24			
0890T	Arhfcmrigtbs 1st tx day	S	1525	NJ24			
0891T	Arhfcmrigtbs sbsq tx day	S	1525	NJ24			
0892T	Arhfcmrigtbs sbsq per tx day	S	1525	NJ24			
0893T	N-invas assmt bld oxygnation	N	5733	NJ24			
0894T	Cannulation liver allograft	C		NJ24			
0895T	Connj lvr algrft prfu dev 1	C		NJ24			
0896T	Connj lvr algrft prfu dev ea	C		NJ24			
0897T	N-invas augmnt arrhyt alys	S	5724	NJ24			
0898T	N-invas prst8 cancer est map	S	5724	NJ24			
0899T	N-invas deter aqmbf aug cmr	E1		NJ24			
0900T	N-invas est aqmbf asstv cmr	E1		NJ24			
0901T	Plmt bone marrow smplg port	E1		NP25			
0902T	Qtc ntrvl augmnt alg aly ecg	N	5734	NP25			
0903T	Ecg alg 12 lead reduced i&r	M		NP25			
0904T	Ecg alg 12 ld rdcd trcg only	N	5733	NP25			
0905T	Ecg alg 12 ld rdcd i&r only	M		NP25			
0906T	Coms ther 1st appl<=50 sq cm	S	5051	NP25			
0907T	Coms ther ea addl<=50 sq cm	N		NP25			
0908T	Opn imp int nstm sys vgs nrv	E1		NP25			
0909T	Rplcmt int nstim sys vgs nrv	E1		NP25			
0910T	Rmvl int nstim sys vagus nrv	E1		NP25			
0911T	Elec aly nstm sys vgs nrv wo	E1		NP25			
0912T	Elec alys nstim sys vgs smpl	E1		NP25			
0913T	Prq tcat ther rx ntrac balo1	J1	5192	NP25			
0914T	Prq tcat thr rx ntrc bal sep	N		NP25			
0915T	Insj perm ccm-d sys pg&eltrd	J1	5232	NP25			
0916T	Insj perm ccm-d sys pg only	J1	5231	NP25			
0917T	Insj perm ccm-d sys 1 lead	J1	5222	NP25			
0918T	Insj perm ccm-d sys dual ld	J1	5222	NP25			
0919T	Rmvl perm ccm-d sys pg only	N	5221	NP25			
0920T	Rmvl perm ccm-d sys 1 pac ld	N	5221	NP25			
0921T	Rmvl perm ccm-d sys 1 dfb ld	N	5221	NP25			
0922T	Rmvl perm ccm-d sys dual ld	N	5221	NP25			
0923T	Rmvl&rplcmt perm ccm-d pg	J1	5231	NP25			
0924T	Rpos prv ccm-d trnsvns eltrd	T	5181	NP25			
0925T	Rlcj skin pocket ccm-d pg	T	5054	NP25			
0926T	Prgrmg dev eval ccm-d ip	N	5741	NP25			
0927T	Interrog dev eval ccm-d ip	N	5741	NP25			
0928T	Rem interrog dev ccm-d phys	M		NP25			
0929T	Rem interrog dev ccm-d tech	N	5741	NP25			
0930T	Ephys eval ccm-d ld 1st impl	J1	5211	NP25			
0931T	Ephys eval ccm-d ld separate	J1	5211	NP25			
0932T	N-invs det hrt fail aug echo	S	5743	NP25			
0933T	Tcat impl wrls l atr prs snr	J1	5191	NP25			
0934T	Rem mntr wrls l atr prs snr	M		NP25			
0935T	Cysto w/rnl pel symp dnrvtj	E1		NP25			
0936T	Photobiomodulation ther rta	E1		NP25			
0937T	Xtrnl ecg rec>15d<30d	E1		NP25			
0938T	Xtrnl ecg rec>15d<30d rec	E1		NP25			
0939T	Xtrnl ecg rec>15d<30d scan	E1		NP25			
0940T	Xtrnl ecg rec>15d<30d r&i	E1		NP25			
0941T	Cysto flx ins&xpns urtl scaf	E1		NP25			
0942T	Cysto flx rmv&rplc urtl scaf	E1		NP25			
0943T	Cysto flx rmvl urtl scaffold	E1		NP25			
0944T	3d cntr simula trgt lvr les	N	5523	NP25			
0945T	Intraop assmt abnl tum tiss	E1		NP25			
0946T	Ortho impl mvmt alys pair ct	S	5522	NP25			
0947T	Mrgfus strtctc bl-br disrpj	E1		NP25			
0Y83T	Wound ultrasound	A		REM			
10004	Fna bx w/o img gdn ea addl	N		NP19			
10005	Fna bx w/us gdn 1st les	T	5071	NP19			
10006	Fna bx w/us gdn ea addl	N		NP19			
10007	Fna bx w/fluor gdn 1st les	T	5071	NP19			
10008	Fna bx w/fluor gdn ea addl	N		NP19			
10009	Fna bx w/ct gdn 1st les	T	5071	NP19			
1000F	Tobacco use assessed	E1		CF11			
10010	Fna bx w/ct gdn ea addl	N		NP19			
10011	Fna bx w/mr gdn 1st les	T	5071	NP19			
10012	Fna bx w/mr gdn ea addl	N		NP19			
10021	Fna bx w/o img gdn 1st les	T	5052	CP16			
10022	Fna w/image	T	5071	PD19			
1002F	Assess anginal symptom/level	E1		CF12 			
10030	Img gid flu coll drg sft tis	T	5071	NI14			
10035	Plmt sft tiss loclzj dev 1st	T	5071	NP16			
10036	Plmt sft tiss loclzj dev ea	N		NP16			
1003F	Level of activity assess	E1		NI6			
10040	Acne surgery	N	5051	CP15			
1004F	Clin symp vol ovrld assess	E1		NI6			
1005F	Asthma symptoms evaluate	E1		NI6			
10060	I&d abscess simple/single	T	5051	CF16			
10061	I&d abscess comp/multiple	T	5052	CP17			
1006F	Osteoarthritis assess	E1		NI6			
1007F	Anti-inflm/anlgsc otc assess	E1		NI6			
10080	I&d pilonidal cyst simple	T	5071				
10081	I&d pilonidal cyst comp	T	5071	CP17			
1008F	Gi/renal risk assess	E1		NI6			
1010F	Severity angina by actvty	E1		NI12			
1011F	Angina present	E1		NI12			
10120	Inc&rmvl fb subq tiss smpl	T	5052	CF16			
10121	Inc&rmvl fb subq tiss comp	J1	5072	CP17			
1012F	Angina absent	E1		NI12			
10140	I&d hmtma seroma/fluid collj	J1	5072	CP17			
1015F	Copd symptoms assess	E1		NJ6			
10160	Pnxr aspir absc hmtma bulla	T	5052	CP17			
10180	I&d complex po wound infctj	J1	5073	CF17			
1018F	Assess dyspnea not present	E1		NJ6			
1019F	Assess dyspnea present	E1		NJ6			
1022F	Pneumo imm status assess	E1		NJ6			
1026F	Co-morbid condition assess	E1		NJ6			
1030F	Influenza imm status assess	E1		NJ6			
1031F	Smoking & 2nd hand assessed	E1		NI12			
1032F	Smoker/exposed 2nd hnd smoke	E1		NI12			
1033F	Tobacco nonsmoker nor 2ndhnd	E1		NI12			
1034F	Current tobacco smoker	E1		NJ6			
1035F	Smokeless tobacco user	E1		NJ6			
1036F	Tobacco non-user	M		NJ6			
1038F	Persistent asthma	M		NJ6			
1039F	Intermittent asthma	M		NJ6			
1040F	Dsm-5 info mdd docd	E1		NO6			
1050F	History of mole changes	E1		NI7			
1052F	Type location activityassess	E1		NI12			
1055F	Visual funct status assess	E1		NI7			
1060F	Doc perm/cont/parox atr fib	E1		NA7			
1061F	Doc lack perm&cont&parox fib	E1		NA7			
1065F	Ischm stroke symp lt3 hrsb/4	E1		NA7			
1066F	Ischm stroke sx onset>=3hr	E1		NA7			
1070F	Alarm symp assessed-absent	E1		NA7			
1071F	Alarm symp assessed-1+ prsnt	E1		NA7			
1090F	Pres/absn urine incon assess	M		NA7			
1091F	Urine incon characterized	E1		NA7			
11000	Dbrdmt ecz/infected skin<10%	T	5053	CP16			
11001	Dbrdmt ecz/infct skn ea addl	N		CP14			
11004	Dbrdmt skin xtrnl gent&per	C					
11005	Dbrdmt skin abdominal wall	C					
11006	Dbrdmt skin xtrnl gent per	C					
11008	Rmv prstc mtrl/mesh abd wall	C					
1100F	Ptfalls assess-docd ge2>/yr	M		NA7			
11010	Debride skin at fx site	T	5071	CP17			
11011	Debride skin musc at fx site	T	5071	CP16			
11012	Deb skin bone at fx site	J1	5073	CF17			
1101F	Pt falls assess-docd le1/yr	E1		CF23 			
11042	Dbrdmt subq tis 1st 20sqcm/<	T	5052	CF16			
11043	Dbrdmt musc&/fsca 1st 20/<	T	5053				
11044	Dbrdmt bone 1st 20 sq cm/<	J1	5072	CP17			
11045	Dbrdmt subq tiss each addl	N		NI11			
11046	Dbrdmt musc&/fsca ea addl	N		NI11			
11047	Dbrdmt bone each addl	N		NI11			
11055	Paring/cutg b9 hyprker les 1	N	5051	CP15			
11056	Parng/cutg b9 hyprkr les 2-4	N	5051	CP16			
11057	Parng/cutg b9 hyprkr les >4	T	5051	CP17			
11100	Biopsy skin lesion	T	5052	PD19			
11101	Biopsy skin add-on	N		PD19			
11102	Tangntl bx skin single les	T	5051	NP19			
11103	Tangntl bx skin ea sep/addl	N		NP19			
11104	Punch bx skin single lesion	T	5052	NP19			
11105	Punch bx skin ea sep/addl	N		NP19			
11106	Incal bx skn single les	T	5053	NP19			
11107	Incal bx skn ea sep/addl	N		NP19			
1110F	Pt lft inpt fac w/in 60 days	E1		NA7			
1111F	Dschrg med/current med merge	E1		NA7			
1116F	Auric/peri pain assessed	E1		NO7			
1118F	Gerd symps assessed 12 month	E1		NI8			
1119F	Init eval for condition	E1		NI8			
11200	Rmvl skin tags up to&inc 15	N	5051	CP15			
11201	Rmvl skin tags ea addl 10	N		CP14			
1121F	Subs eval for condition	E1		NI8			
1123F	Acp discuss/dscn mkr docd	M		NI8			
1124F	Acp discuss-no dscnmkr docd	M		NI8			
1125F	Amnt pain noted pain prsnt	M		NI8			
1126F	Amnt pain noted none prsnt	M		NI8			
1127F	New episode for condition	E1		RA12			
1128F	Subs episode for condition	E1		RA12			
11300	Shave skin lesion 0.5 cm/<	N	5052	CP21			
11301	Shave skin lesion 0.6-1.0 cm	N	5051	CP16			
11302	Shave skin lesion 1.1-2.0 cm	N	5051	CP16			
11303	Shave skin lesion >2.0 cm	N	5052	CP17			
11305	Shave skin lesion 0.5 cm/<	N	5051	CP15			
11306	Shave skin lesion 0.6-1.0 cm	N	5051	CP16			
11307	Shave skin lesion 1.1-2.0 cm	T	5051	CP17			
11308	Shave skin lesion >2.0 cm	N	5052	CP17			
1130F	Bk pain & fxn assessed	E1		NA8			
11310	Shave skin lesion 0.5 cm/<	T	5051	CP17			
11311	Shave skin lesion 0.6-1.0 cm	T	5051	CP17			
11312	Shave skin lesion 1.1-2.0 cm	T	5052	CF12			
11313	Shave skin lesion >2.0 cm	T	5052	CF12			
1134F	Epsd bk pain for 6 wks/<	E1		NA8			
1135F	Epsd bk pain for >6 wks	E1		NA8			
1136F	Epsd bk pain for 12 wks/<	E1		NA8			
1137F	Epsd bk pain for >12 wks	E1		NA8			
11400	Exc tr-ext b9+marg 0.5 cm<	T	5071	CP17			
11401	Exc tr-ext b9+marg 0.6-1 cm	T	5052	CF17			
11402	Exc tr-ext b9+marg 1.1-2 cm	T	5071	CP17			
11403	Exc tr-ext b9+marg 2.1-3cm	T	5071	CP17			
11404	Exc tr-ext b9+marg 3.1-4 cm	J1	5072	CP17			
11406	Exc tr-ext b9+marg >4.0 cm	J1	5072	CP17			
11420	Exc h-f-nk-sp b9+marg 0.5/<	J1	5072	CP17			
11421	Exc h-f-nk-sp b9+marg 0.6-1	T	5071	CP17			
11422	Exc h-f-nk-sp b9+marg 1.1-2	J1	5072	CP17			
11423	Exc h-f-nk-sp b9+marg 2.1-3	J1	5072	CP17			
11424	Exc h-f-nk-sp b9+marg 3.1-4	J1	5072	CP17			
11426	Exc h-f-nk-sp b9+marg >4 cm	J1	5073	CF17			
11440	Exc face-mm b9+marg 0.5 cm/<	T	5071	CP17			
11441	Exc face-mm b9+marg 0.6-1 cm	T	5071	CP17			
11442	Exc face-mm b9+marg 1.1-2 cm	T	5071	CP17			
11443	Exc face-mm b9+marg 2.1-3 cm	J1	5072	CP17			
11444	Exc face-mm b9+marg 3.1-4 cm	J1	5072	CP17			
11446	Exc face-mm b9+marg >4 cm	J1	5073	CF17			
11450	Exc skn hdrdnt ax smpl/ntrm	J1	5073	CP17			
11451	Exc skn hdrdnt ax complex	J1	5073	CP17			
11462	Exc skn hdrdnt ing smpl/ntrm	J1	5073	CP17			
11463	Exc skn hdrdnt ing complex	J1	5073	CP17			
11470	Exc skn h/p/p/u smpl/ntrm	J1	5073	CP17			
11471	Exc skn h/p/p/u complex	J1	5073	CP17			
1150F	Doc pt rsk death w/in 1yr	E1		NI9			
1151F	Doc no pt rsk death w/in 1yr	E1		NI9			
1152F	Doc advncd dis comfort 1st	E1		NI9			
1153F	Doc advncd dis cmfrt not 1st	E1		NI9			
1157F	Advnc care plan in rcrd	E1		NI9			
1158F	Advnc care plan tlk docd	M		NI9			
1159F	Med list docd in rcrd	E1		NI9			
11600	Exc tr-ext mal+marg 0.5 cm/<	T	5071	CP17			
11601	Exc tr-ext mal+marg 0.6-1 cm	T	5071	CP17			
11602	Exc tr-ext mal+marg 1.1-2 cm	T	5052	CF17			
11603	Exc tr-ext mal+marg 2.1-3 cm	T	5071	CP17			
11604	Exc tr-ext mal+marg 3.1-4 cm	T	5071	CP17			
11606	Exc tr-ext mal+marg >4 cm	J1	5072	CP17			
1160F	Rvw meds by rx/dr in rcrd	E1		NI9			
11620	Exc h-f-nk-sp mal+marg 0.5/<	J1	5072	CP17			
11621	Exc s/n/h/f/g mal+mrg 0.6-1	T	5071	CP17			
11622	Exc s/n/h/f/g mal+mrg 1.1-2	T	5071	CP17			
11623	Exc s/n/h/f/g mal+mrg 2.1-3	J1	5072	CP17			
11624	Exc s/n/h/f/g mal+mrg 3.1-4	J1	5072	CP17			
11626	Exc s/n/h/f/g mal+mrg >4 cm	J1	5073	CP17			
11640	Exc f/e/e/n/l mal+mrg 0.5cm<	T	5071	CP17			
11641	Exc f/e/e/n/l mal+mrg 0.6-1	T	5071	CP17			
11642	Exc f/e/e/n/l mal+mrg 1.1-2	T	5071	CP17			
11643	Exc f/e/e/n/l mal+mrg 2.1-3	J1	5072	CP17			
11644	Exc f/e/e/n/l mal+mrg 3.1-4	J1	5072	CP17			
11646	Exc f/e/e/n/l mal+mrg >4 cm	J1	5073	CP17			
1170F	Fxnl status assessed	M		NI9			
11719	Trim nail(s) any number	N	5733	CP16			
11720	Debride nail 1-5	N	5733	CF17			
11721	Debride nail 6 or more	N	5733	CP16			
11730	Removal of nail plate	N	5051	CP16			
11732	Remove nail plate add-on	N		CP14			
11740	Drain blood from under nail	N	5734	CP18			
11750	Removal of nail bed	T	5052	CP17			
11755	Biopsy nail unit	T	5071	CP17			
1175F	Function stat assessed rvwd	E1		NI12			
11760	Repair of nail bed	T	5053	CP16			
11762	Reconstruction of nail bed	T	5054	CF14			
11765	Excision of nail fold toe	N	5052	CP17			
11770	Remove pilonidal cyst simple	J1	5073	CP17			
11771	Remove pilonidal cyst exten	J1	5073	CP17			
11772	Remove pilonidal cyst compl	J1	5073	CP17			
1180F	Thromboemb risk assessed	E1		NI9			
1181F	Neuropsychia sympts assessed	E1		NI12			
1182F	Neuropsychi sympt 1+present	E1		NI12			
1183F	Neuropsychiatric symp absent	E1		NI12			
11900	Inject skin lesions </w 7	N	5051	CP15			
11901	Inject skin lesions >7	N	5051	CF15			
11920	Correct skin color 6.0 cm/<	T	5053	CP16			
11921	Correct skn color 6.1-20.0cm	T	5053	CP16			
11922	Correct skin color ea 20.0cm	N		CP14			
11950	Tx contour defects 1 cc/<	T	5051	CP17			
11951	Tx contour defects 1.1-5.0cc	T	5053	CP16			
11952	Tx contour defects 5.1-10cc	T	5053	CP16			
11954	Tx contour defects >10.0 cc	T	5053	CP21			
11960	Insert tissue expander(s)	T	5055	CP16			
11970	Rplcmt tiss xpndr perm implt	J1	5114	CP17			
11971	Rmvl tis xpndr wo insj implt	N	5073	CP17			
11976	Remove contraceptive capsule	N	5071	CP16			
11980	Implant hormone pellet(s)	N	5735	CP17			
11981	Insertion drug dlvr implant	N	5734	CF17			
11982	Remove drug implant device	N	5735	CP17			
11983	Remove/insert drug implant	N	5735	CP17			
12001	Rpr s/n/ax/gen/trnk 2.5cm/<	N	5051	CP15			
12002	Rpr s/n/ax/gen/trnk2.6-7.5cm	N	5051	CP15			
12004	Rpr s/n/ax/gen/trk7.6-12.5cm	N	5051	CF15			
12005	Rpr s/n/a/gen/trk12.6-20.0cm	N	5052	CP17			
12006	Rpr s/n/a/gen/trk20.1-30.0cm	N	5052	CP17			
12007	Rpr s/n/ax/gen/trnk >30.0 cm	T	5051	CP17			
1200F	Seizure type& frequ docd	E1		NI10			
12011	Rpr f/e/e/n/l/m 2.5 cm/<	N	5051	CP15			
12013	Rpr f/e/e/n/l/m 2.6-5.0 cm	N	5051	CP15			
12014	Rpr f/e/e/n/l/m 5.1-7.5 cm	N	5051	CF15			
12015	Rpr f/e/e/n/l/m 7.6-12.5 cm	N	5051	CP16			
12016	Rpr fe/e/en/l/m 12.6-20.0 cm	N	5052	CP18			
12017	Rpr fe/e/en/l/m 20.1-30.0 cm	N	5052	CP17			
12018	Rpr f/e/e/n/l/m >30.0 cm	N	5051	CP16			
12020	Tx supfc wnd dehsn smpl clsr	T	5053	CP16			
12021	Tx supfc wnd dehsn w/packing	T	5052	CP17			
12031	Intmd rpr s/a/t/ext 2.5 cm/<	T	5052	CP16			
12032	Intmd rpr s/a/t/ext 2.6-7.5	T	5052	CP16			
12034	Intmd rpr s/tr/ext 7.6-12.5	T	5052	CP16			
12035	Intmd rpr s/a/t/ext 12.6-20	T	5052	CF16			
12036	Intmd rpr s/a/t/ext 20.1-30	T	5053	CP16			
12037	Intmd rpr s/tr/ext >30.0 cm	T	5054	CP18			
12041	Intmd rpr n-hf/genit 2.5cm/<	N	5052	CP17			
12042	Intmd rpr n-hf/genit2.6-7.5	T	5052	CP16			
12044	Intmd rpr n-hf/genit7.6-12.5	T	5053	CP17			
12045	Intmd rpr n-hf/genit12.6-20	T	5053	CP17			
12046	Intmd rpr n-hf/genit20.1-30	T	5053	CP21			
12047	Intmd rpr n-hf/genit >30.0cm	T	5054	CP17			
12051	Intmd rpr face/mm 2.5 cm/<	T	5052	CP18			
12052	Intmd rpr face/mm 2.6-5.0 cm	T	5052	CP16			
12053	Intmd rpr face/mm 5.1-7.5 cm	T	5052	CP16			
12054	Intmd rpr face/mm 7.6-12.5cm	N	5052	CP17			
12055	Intmd rpr face/mm 12.6-20 cm	T	5052	CP16			
12056	Intmd rpr face/mm 20.1-30.0	N	5052	CP17			
12057	Intmd rpr face/mm >30.0 cm	T	5052	CP18			
1205F	Epi etiol synd rvwd and docd	E1		NI10			
1220F	Pt screened for depression	E1		NI9			
13100	Cmplx rpr trunk 1.1-2.5 cm	T	5053	CP17			
13101	Cmplx rpr trunk 2.6-7.5 cm	T	5053	CP16			
13102	Cmplx rpr trunk addl 5cm/<	N		CP14			
13120	Cmplx rpr s/a/l 1.1-2.5 cm	T	5053	CP16			
13121	Cmplx rpr s/a/l 2.6-7.5 cm	T	5053	CP16			
13122	Cmplx rpr s/a/l addl 5 cm/>	N		CP14			
13131	Cmplx rpr f/c/c/m/n/ax/g/h/f	T	5052	CP17			
13132	Cmplx rpr f/c/c/m/n/ax/g/h/f	T	5053	CP16			
13133	Cmplx rpr f/c/c/m/n/ax/g/h/f	N		CP14			
13151	Cmplx rpr e/n/e/l 1.1-2.5 cm	T	5053	CP16			
13152	Cmplx rpr e/n/e/l 2.6-7.5 cm	T	5053	CP16			
13153	Cmplx rpr e/n/e/l addl 5cm/<	N		CP14			
13160	Sec clsr surg wnd/dehsn xtn	T	5054	CP17			
14000	Tis trnfr trunk 10 sq cm/<	T	5054	CF14			
14001	Tis trnfr trunk 10.1-30sqcm	T	5054	CF14			
1400F	Prkns diag rviewed	E1		NI11			
14020	Tis trnfr s/a/l 10 sq cm/<	T	5054	CF14			
14021	Tis trnfr s/a/l 10.1-30 sqcm	T	5054	CF14			
14040	Tis trnfr f/c/c/m/n/a/g/h/f	T	5054	CF14			
14041	Tis trnfr f/c/c/m/n/a/g/h/f	T	5054	CF14			
14060	Tis trnfr e/n/e/l 10 sq cm/<	T	5054	CF14			
14061	Tis trnfr e/n/e/l10.1-30sqcm	T	5054	CF14			
14301	Tis trnfr any 30.1-60 sq cm	T	5055	NI10			
14302	Tis trnfr addl 30 sq cm	N		NI10			
14350	Filleted finger/toe flap	T	5054	CP18			
1450F	Symptoms improved/consist	E1		NI12			
1451F	Sympt show clin import drop	E1		NI12			
1460F	Qual card diag prior 12 mons	M		NI12			
1461F	No qual card diag prior12mon	M		NI12			
1490F	Dem severity classified mild	E1		NI12			
1491F	Dem severity classified mod	E1		NI12			
1493F	Dem severity class severe	E1		NI12			
1494F	Cognit assessed and reviewed	E1		NI12			
15002	Wound prep trk/arm/leg	T	5054	NI7			
15003	Wound prep addl 100 cm	N		NI7			
15004	Wound prep f/n/hf/g	T	5053	NI7			
15005	Wnd prep f/n/hf/g addl cm	N		NI7			
1500F	Symptom&sign symm polyneuro	E1		NI13			
15011	Hrv skn cll ssp agrft 1st 25	T	5054	NP25			
15012	Hrv skn cll ssp agrft ea add	N		NP25			
15013	Prepj skn cll ssp agrft 1st	T	1567	NP25			
15014	Prepj skn cll ssp agrft ea	N		NP25			
15015	App skn cl ssp agrft t/a/l 1	T	5054	NP25			
15016	App skn cl ssp agrf t/a/l ea	N		NP25			
15017	App skn cll ssp f/n/g/hf 1st	T	5054	NP25			
15018	App skn cll ssp f/n/g/hf ea	N		NP25			
1501F	Not initial eval for cond	E1		NI13			
1502F	Pt queried pain fxn w/ instr	E1		NI13			
1503F	Pt queried symp resp insuff	E1		NI13			
15040	Harvest cultured skin graft	T	5054	NI6			
1504F	Pt has resp insufficiency	E1		NI13			
15050	Pinch graft up to 2 cm diam	T	5053	CP16			
1505F	Pt has no resp insufficiency	E1		NI13			
15100	Splt agrft t/a/l 1st 100sqcm	T	5054	CP17			
15101	Splt agrft t/a/l ea addl 100	N		CP14			
15110	Epidrm agrft t/a/l 1st 100	T	5054	NI6			
15111	Epidrm agrft t/a/l ea addl	N		NI6			
15115	Epdrm agrft f/s/n/h/f/g/m 1	T	5054	NI6			
15116	Epdrm agrft f/s/n/h/f/g/m ea	N		NI6			
15120	Splt agrft f/s/n/h/f/g/m 1st	T	5055	CP16			
15121	Splt agrft f/s/n/h/f/g/m ea	N		CP14			
15130	Drm agrft t/a/l 1st 100 sqcm	T	5054	NI6			
15131	Drm agrft t/a/l ea addl	N		NI6			
15135	Drm agrft f/s/n/h/f/g/m 1st	T	5055	NI6			
15136	Drm agrft f/s/n/h/f/g/m ea	N		NI6			
15150	Tis cltr skn agrft t/a/l 1st	T	5054	CP18			
15151	Tis cltr skn agrft t/a/l add	N		CP14			
15152	Tis cltr skn agrft t/a/l ea	N		CP14			
15155	Tis cltr agrft f/s/n/h/f/g 1	T	5055	CP17			
15156	Tis clt agrft f/s/n/h/f/g ad	N		CP14			
15157	Tis clt agrft f/s/n/h/f/g ea	N		CP14			
15200	Fth/gft fr trnk 20 sq cm/<	T	5054	CP18			
15201	Fth/gft fr trnk each addl	N		CP14			
15220	Fth/gft fr s/a/l 20 sq cm/<	T	5054	CF14			
15221	Fth/gft fr s/a/l each addl	N		CP14			
15240	Fth/gft f/c/c/m/n/ax/g/h/f20	T	5054	CF14			
15241	Fth/gft f/c/c/m/n/a/g/h/f ea	N		CP14			
15260	Fth/gft fr n/e/e/l 20 sqcm/<	T	5054	CP16			
15261	Fth/gft fr n/e/e/l each addl	N		CP14			
